Name,Est OG,Est FG,Est ABV,IBU (Tinseth),Color
Sweaty Betty Stout (1.3),1.0584905976498526,1.011549872974947,6.160970113581363,14.789623398800753,31.527561711939956
Sweaty Betty Stout (1.4),1.0660279712257779,1.0129573133223606,6.965523849823514,14.31635362374879,21.360079956961602
Sweaty Betty Tropical Stout,1.0455860240387949,1.0099666891647328,4.675037702220651,16.42371647406317,28.8615230487152
"Thatcher's Irish Ale",1.0347649186172,1.0074723794594216,3.5821457644584305,17.69677634628865,11.406909844046462
"Thatcher's Irish Ale (1.1)",1.0339627273575243,1.0075769788650737,3.463129489634137,20.117033881511443,8.770538362872221
"Thatcher's Irish Ale (1.2)",1.050141938433237,1.0100952153543061,5.256132404109691,18.486928174490462,11.345697654271795
"The Beater's Pale Ale",1.0488134370033189,1.0109083989045073,4.975036250469012,36.167166423439824,7.125334898976052
"The Beater's Pale Ale (1.2)",1.0326353468353595,1.0070303405553298,3.3606570742538993,45.60106520129563,5.996007346240548
"Turtle's Heads Brown Ale (1.3)",1.0243094979446707,1.0052981883578158,2.4952343832747097,12.889406818752299,12.564641299382863
Turtleshead Brown Ale (1.4),1.0486556086057615,1.009979278532534,5.07626832211109,21.043849259002847,7.262472064357348
Turtles Heads Brown Ale,1.0305917860250746,1.006137881927762,3.2095749127722826,27.708370911852228,12.019429401472621
Turtles Heads Brown Ale (1.2),1.0276699608823745,1.0066306027704766,2.761415752186605,22.384650893809795,12.547832626626361
Twentypints Weiss (1.3),1.0352503388520709,1.0076449891697004,3.6232021458111277,11.8331058228058,2.2417081603968585
Twentypints Weiss (1.4),1.027723064050414,1.009471270269541,2.3955479337395875,10.0511960129522,3.7393383326172867
Twentypints Weiss (1.5),1.0323764584840458,1.0099144849710464,2.94813402358117,9.846218235949488,4.08742830534037
Twentypints Weiss (1.6) + American Wheat,,,,,
Twentypints Weiss (1.7),1.0490776945641014,1.0155383148234214,4.40204359096425,10.60498947953742,5.372380813769899
"Uncle Knobby's Dry Stout",1.0305991933103629,1.0071125759860597,3.0826185238147854,32.1765320261052,15.824403645871994
Vauxhall Viva Witbier,1.0324860751251153,1.0106752852713796,2.862666168302802,12.797636915480266,2.303412204294064
